tag,x,y,direction
blue,-37.0,-28.0,0
blue,-37.0,-26.0,0
blue,-37.0,-24.0,0
blue,-35.0,-31.0,0
blue,-35.0,-21.0,0
blue,-33.0,-33.0,0
blue,-33.0,-19.0,0
blue,-30.0,-33.0,0
blue,-30.0,-19.0,0
blue,-27.0,-33.0,0
blue,-27.0,-19.0,0
blue,-24.0,-31.0,0
blue,-24.0,-21.0,0
blue,-23.0,-28.0,0
blue,-23.0,-24.0,0
blue,-22.0,-26.0,0
blue,-20.0,-33.0,0
blue,-20.0,-19.0,0
blue,-16.0,-35.0,0
blue,-16.0,-17.0,0
blue,-12.0,-36.0,0
blue,-12.0,-16.0,0
blue,-8.0,-35.0,0
blue,-8.0,-17.0,0
blue,-5.0,-33.0,0
blue,-5.0,-19.0,0
blue,-2.0,-30.0,0
blue,-2.0,-26.0,0
blue,-2.0,-22.0,0
yellow,-40.0,-30.0,0
yellow,-40.0,-26.0,0
yellow,-40.0,-22.0,0
yellow,-37.0,-33.0,0
yellow,-37.0,-19.0,0
yellow,-34.0,-35.0,0
yellow,-34.0,-17.0,0
yellow,-30.0,-36.0,0
yellow,-30.0,-16.0,0
yellow,-26.0,-35.0,0
yellow,-26.0,-17.0,0
yellow,-22.0,-33.0,0
yellow,-22.0,-19.0,0
yellow,-20.0,-26.0,0
yellow,-19.0,-28.0,0
yellow,-19.0,-24.0,0
yellow,-18.0,-31.0,0
yellow,-18.0,-21.0,0
yellow,-15.0,-33.0,0
yellow,-15.0,-19.0,0
yellow,-12.0,-33.0,0
yellow,-12.0,-19.0,0
yellow,-9.0,-33.0,0
yellow,-9.0,-19.0,0
yellow,-7.0,-31.0,0
yellow,-7.0,-21.0,0
yellow,-5.0,-28.0,0
yellow,-5.0,-26.0,0
yellow,-5.0,-24.0,0
big_orange,-22.0,-27.0,0
big_orange,-22.0,-25.0,0
big_orange,-20.0,-27.0,0
big_orange,-20.0,-25.0,0
orange,-22.0,-37.0,0
orange,-22.0,-35.0,0
orange,-22.0,-17.0,0
orange,-22.0,-15.0,0
orange,-22.0,-13.0,0
orange,-22.0,-11.0,0
orange,-22.0,-9.0,0
orange,-22.0,-7.0,0
orange,-22.0,-5.0,0
orange,-21.0,-5.0,0
orange,-20.0,-37.0,0
orange,-20.0,-35.0,0
orange,-20.0,-17.0,0
orange,-20.0,-15.0,0
orange,-20.0,-13.0,0
orange,-20.0,-11.0,0
orange,-20.0,-9.0,0
orange,-20.0,-7.0,0
orange,-20.0,-5.0,0
car_start,-21,-40,0.989478001131
